Date,Rainfall_Monteporzio,Rainfall_Velletri,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_2,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Depth_to_Groundwater_Pozzo_5,Depth_to_Groundwater_Pozzo_6,Depth_to_Groundwater_Pozzo_7,Depth_to_Groundwater_Pozzo_8,Depth_to_Groundwater_Pozzo_9,Volume_Pozzo_1,Volume_Pozzo_2,Volume_Pozzo_3,Volume_Pozzo_4,Volume_Pozzo_5+6,Volume_Pozzo_7,Volume_Pozzo_8,Volume_Pozzo_9,Temperature_Monteporzio,Temperature_Velletri
18/01/2019,7.8,6.0,-35.87,-99.6,-114.12,-100.67,-104.14,-93.26,-97.43,-98.62,-92.71,2039.0,3532.57,2683.55,3579.34,7686.29,2612.38,3793.28,2685.85,5.91,7.72
19/01/2019,0.2,0.6,-35.6,-99.26,-114.12,-100.52,-104.14,-93.14,-97.42,-98.49,-92.71,2042.24,3529.01,3552.26,3574.87,7788.56,2602.62,3789.04,3425.44,3.77,5.6
20/01/2019,1.2,2.4,-35.45,-98.93,-113.99,-100.36,-104.14,-93.01,-97.42,-98.35,-92.71,2043.61,3527.21,2773.26,3574.69,7787.95,2605.64,3783.35,3291.19,4.08,5.88
21/01/2019,7.0,5.8,-35.45,-98.93,-113.93,-100.36,-104.13,-93.01,-97.42,-98.35,-92.62,2041.63,3528.22,2781.54,3574.8,7785.32,2606.83,3773.38,3348.22,4.85,6.9
03/02/2019,7.2,8.2,-34.43,-100.38,-114.1,-101.1,-104.22,-93.59,-97.42,-98.94,-91.54,2090.66,3543.55,3089.92,3577.39,7414.92,2603.99,3797.17,3080.59,5.35,7.55
04/02/2019,0.0,0.0,-34.21,-100.31,-114.25,-101.1,-104.22,-93.59,-97.42,-98.94,-91.54,2095.7,3547.44,1830.56,3577.14,7764.52,2602.4,3804.73,3423.35,6.61,9.87
05/02/2019,0.0,0.0,-33.71,-100.31,-114.25,-101.1,-104.22,-93.59,-97.42,-98.94,-91.54,2101.68,3541.14,3531.17,3577.03,7762.07,2601.61,3797.1,3426.52,8.01,11.85
06/02/2019,0.0,0.0,-33.39,-100.31,-114.12,-101.1,-104.22,-93.59,-97.42,-98.66,-91.37,2108.92,3542.44,2838.2,3578.04,6831.07,2607.77,3795.59,2847.49,6.75,8.44
07/02/2019,0.0,0.0,-32.82,-100.31,-114.12,-101.17,-104.22,-93.59,-97.4,-98.66,-91.37,2129.94,3481.6,1957.79,3452.26,7460.82,2608.92,3612.64,3288.49,6.62,8.5
08/02/2019,0.2,0.0,-31.09,-100.38,-114.06,-101.17,-104.25,-93.59,-97.37,-98.66,-91.37,2108.48,3544.42,3528.36,3573.58,7263.22,1468.37,3736.55,2786.51,6.1,8.01
09/02/2019,0.2,0.2,-31.09,-100.38,-114.06,-101.17,-104.25,-93.59,-97.33,-98.66,-93.2,2151.29,3544.45,3535.02,3567.53,7758.68,572.51,3853.76,3429.47,6.51,8.32
10/02/2019,0.0,0.0,-31.09,-100.38,-114.12,-101.17,-104.25,-93.59,-97.35,-98.66,-93.2,2157.84,3542.54,3536.78,3569.87,7761.35,1601.42,3846.92,3434.87,8.54,10.1
11/02/2019,1.6,18.4,-31.09,-100.38,-114.27,-101.17,-104.25,-93.59,-97.35,-98.66,-93.2,810.43,3534.55,3527.5,3569.69,7761.2,2581.56,3825.94,3294.22,6.28,8.33
12/02/2019,0.0,0.0,-32.22,-100.38,-114.28,-101.17,-104.29,-93.67,-97.43,-98.66,-92.05,68.29,3534.48,3526.63,3570.48,7760.63,2585.95,3659.47,3292.56,5.49,8.26
13/02/2019,0.0,0.0,-33.11,-100.53,-114.28,-101.17,-104.29,-93.67,-97.43,-98.69,-92.04,1650.92,3518.57,1468.12,3574.91,7763.0,2599.92,3827.74,3454.27,4.63,7.6
24/02/2019,0.0,0.0,-35.97,-101.42,-115.63,-101.61,-104.22,-93.41,-94.95,-98.54,-91.05,4123.8,3447.18,2697.41,3575.95,7754.4,2597.11,3817.19,3417.41,3.93,5.71
25/02/2019,0.0,0.0,-36.15,-101.23,-115.57,-101.61,-104.22,-93.41,-94.95,-98.54,-90.97,4103.06,3844.76,3833.57,3337.81,4207.54,2573.21,3437.21,3015.72,5.11,7.33
26/02/2019,0.0,0.0,-36.2,-101.06,-115.57,-101.61,-104.22,-93.41,-94.95,-98.54,-91.05,4094.53,3840.66,3461.9,3567.53,7765.7,2177.5,3799.15,3255.41,6.99,8.34
27/02/2019,0.0,0.0,-36.2,-101.03,-115.55,-101.61,-104.22,-93.41,-96.93,-98.54,-91.26,4093.85,3842.82,3652.92,3573.4,6832.58,1709.68,3809.02,2386.76,11.06,12.18
28/02/2019,0.0,0.0,-36.2,-101.0,-115.55,-101.61,-104.23,-93.41,-96.93,-98.54,-91.26,4088.3,3844.12,3221.64,3572.03,6941.7,797.58,3835.08,3456.47,8.28,9.52
13/03/2019,7.0,13.2,-36.69,-101.0,-112.44,-102.18,-104.24,-94.39,-96.44,-98.19,-90.2,3978.68,3828.71,2418.73,3879.54,7674.44,1542.06,3806.32,3066.59,6.8,8.2
14/03/2019,0.2,0.0,-36.95,-101.0,-114.39,-102.18,-104.24,-94.39,-96.44,-98.19,-89.13,3973.57,3830.76,2961.11,3882.31,8238.89,1041.59,3809.84,2619.58,6.73,9.04
29/03/2019,0.0,0.0,-39.15,-101.0,-114.31,-102.04,-104.25,-97.18,-93.91,-98.84,-91.86,3608.93,3813.41,3792.53,3888.11,8086.72,2188.33,3762.79,3448.01,9.99,12.4
30/03/2019,0.0,0.0,-39.22,-101.0,-114.24,-102.04,-104.25,-97.35,-93.91,-98.84,-91.86,3583.01,3817.04,3545.5,3892.75,8089.6,1309.0,4047.37,3001.75,9.8,11.86
31/03/2019,0.0,0.0,-39.22,-101.0,-114.24,-102.04,-104.25,-97.44,-93.91,-98.84,-91.86,3418.2,3661.02,2903.29,3732.91,7754.11,1339.38,3879.94,3303.22,11.24,12.3
01/04/2019,0.0,0.0,-39.28,-100.63,-114.24,-102.04,-104.25,-97.44,-96.77,-98.84,-91.86,3547.19,3820.46,2851.09,3894.77,8084.59,1239.66,4044.02,3446.21,12.28,13.4
02/04/2019,0.0,0.0,-39.43,-100.5,-114.38,-102.04,-104.25,-97.44,-97.37,-98.84,-91.71,3522.2,3822.01,3160.58,3894.59,8079.91,51.91,4044.38,3209.76,11.28,12.49
03/04/2019,0.2,3.8,-39.59,-100.5,-114.38,-102.04,-104.25,-97.44,-97.37,-98.84,-91.71,3498.62,3816.94,3819.24,3892.43,8070.84,0.0,4039.42,3443.22,8.6,9.79
04/04/2019,37.4,32.2,-39.72,-100.5,-114.38,-102.04,-104.25,-97.44,-97.37,-97.9,-91.71,3483.68,3816.04,3820.54,3891.17,8063.6,0.0,3869.39,3299.72,8.66,10.34
05/04/2019,0.2,0.0,-39.72,-100.62,-114.38,-102.05,-104.29,-97.7,-97.21,-97.9,-91.71,1731.24,1903.86,1917.04,1945.08,4024.76,1038.17,2009.7,1720.15,6.91,8.26
06/04/2019,0.2,0.0,-39.72,-100.62,-114.38,-102.05,-104.29,-97.7,-97.01,-97.9,-92.24,3439.44,3812.44,3238.06,3897.68,8052.88,1843.42,4023.25,3075.23,9.24,11.17
07/04/2019,1.6,3.6,-39.72,-100.62,-114.2,-102.05,-104.29,-97.7,-96.85,-97.9,-92.24,3413.95,3815.42,2469.31,3893.69,8050.72,1981.26,4029.26,3443.62,8.09,10.29
08/04/2019,0.0,0.0,-39.72,-100.62,-114.06,-102.05,-104.29,-97.7,-96.85,-97.9,-92.24,3388.79,3808.8,3818.05,3889.69,8048.74,2620.33,4025.34,3441.1,8.17,10.8
09/04/2019,0.0,0.0,-40.44,-100.62,-113.94,-102.05,-104.29,-97.7,-96.84,-97.9,-91.87,3369.31,3815.17,2801.92,3893.58,8042.11,1552.14,4028.36,3442.82,8.83,11.71
10/04/2019,1.8,8.4,-40.69,-100.62,-113.94,-102.05,-104.29,-97.7,-96.84,-97.9,-91.87,3347.28,3816.14,2867.51,3894.7,8039.56,1405.01,4032.0,3443.33,7.5,8.48
11/04/2019,8.2,11.4,-40.73,-100.71,-113.77,-101.43,-104.26,-94.03,-96.84,-97.85,-91.87,3341.88,3860.42,2546.78,3876.88,8122.68,2423.7,3219.84,3016.22,8.32,10.2
12/04/2019,1.0,1.6,-41.24,-100.71,-109.99,-101.43,-104.26,-94.03,-96.86,-97.85,-92.13,3321.04,3892.0,0.0,3862.33,8182.4,2657.77,4022.46,2991.42,8.5,10.33
13/04/2019,4.0,4.8,-41.56,-100.77,-106.29,-101.43,-104.21,-93.91,-96.86,-97.78,-92.13,3284.86,3890.48,1189.51,3560.8,7829.78,3101.18,3994.13,3435.95,8.45,9.85
14/04/2019,4.6,5.0,-41.58,-100.77,-106.29,-101.8,-104.21,-93.91,-96.86,-97.78,-92.13,3262.0,3895.42,206.1,3844.08,8185.54,2878.81,3977.06,3166.7,8.05,9.64
15/04/2019,1.0,0.4,-41.72,-100.91,-106.67,-102.02,-104.26,-93.91,-96.86,-98.22,-92.13,3237.95,3907.26,421.92,3845.52,8173.19,3093.73,3986.32,3436.13,9.97,11.85
16/04/2019,0.0,0.0,-41.96,-101.12,-106.67,-102.02,-104.26,-93.91,-96.86,-98.33,-92.13,3210.12,3907.3,1213.78,3849.01,8177.98,3093.12,3979.91,3439.51,10.54,12.35
14/05/2019,8.8,15.0,-45.78,-101.28,-112.15,-102.07,-104.32,-93.91,-96.95,-98.84,-92.59,1054.58,1473.37,1105.52,1123.7,3047.4,1051.56,1485.79,1240.67,11.12,13.57
15/05/2019,19.8,25.8,-46.03,-101.28,-112.09,-102.07,-104.32,-93.91,-96.93,-98.84,-92.04,2748.2,3930.05,2823.48,3863.81,8124.37,1114.16,3973.46,3441.56,7.17,8.89
16/05/2019,0.0,0.0,-46.12,-101.28,-112.01,-102.07,-104.32,-93.91,-96.98,-98.84,-91.41,2714.33,3927.64,3289.07,3864.56,8125.16,792.61,3971.2,3441.31,10.95,13.25
17/05/2019,0.0,0.0,-46.27,-101.28,-111.63,-102.07,-104.32,-93.91,-96.98,-98.84,-90.85,2697.73,3926.52,3289.43,3865.64,8133.91,1285.13,3969.04,3440.74,12.99,14.44
18/05/2019,18.4,9.8,-46.27,-101.28,-111.14,-102.07,-104.32,-93.91,-97.13,-98.84,-90.85,2692.58,3921.62,2790.86,3863.16,8137.33,2499.62,3955.64,2938.72,11.93,13.97
19/05/2019,16.4,3.0,-46.27,-101.28,-111.03,-102.07,-104.32,-93.91,-97.13,-98.84,-90.85,2689.27,3920.54,3393.47,3866.87,8139.2,1921.39,3961.26,2729.84,11.11,13.65
20/05/2019,26.0,18.0,-46.25,-101.28,-111.03,-102.07,-104.32,-93.91,-97.13,-98.56,-92.29,2691.43,3921.7,1386.94,3867.62,8131.72,2692.94,3962.45,2594.99,10.2,12.21
21/05/2019,1.6,3.0,-46.06,-101.24,-111.63,-102.08,-104.32,-94.11,-96.96,-98.56,-92.29,2691.11,3916.01,3194.57,3866.04,8124.44,3064.07,3944.27,3436.88,11.43,13.39
22/05/2019,0.0,0.0,-46.06,-101.24,-112.04,-102.08,-104.32,-94.11,-96.96,-98.56,-92.29,2698.27,3911.65,3035.95,3871.73,7321.36,2135.66,3943.66,2968.13,12.68,14.83
23/05/2019,0.6,0.8,-46.06,-101.24,-112.04,-102.08,-104.27,-94.11,-96.9,-98.56,-92.29,2713.57,3910.43,2790.79,3870.79,7731.68,2299.82,3933.58,3055.32,12.97,14.85
24/05/2019,0.2,0.0,-45.57,-101.21,-112.08,-102.03,-104.26,-94.11,-96.96,-98.55,-91.56,2729.95,3911.51,2912.83,3872.27,7730.17,2274.66,3925.94,3019.64,14.0,15.49
25/05/2019,1.6,1.4,-44.2,-101.2,-112.24,-101.95,-104.26,-93.89,-96.96,-98.54,-91.27,2741.11,3903.08,2943.18,3868.63,7563.56,2695.28,3909.85,3045.24,14.07,15.83
26/05/2019,12.6,13.8,-44.2,-101.2,-112.2,-101.95,-104.26,-93.89,-97.05,-98.52,-91.56,2754.94,3921.84,2533.5,3868.96,7662.06,2366.86,3923.21,2780.35,11.91,14.03
27/05/2019,10.0,16.6,-44.2,-101.2,-112.08,-101.95,-104.26,-93.89,-97.19,-98.5,-91.56,2165.44,3934.04,3284.39,3868.38,6847.96,1969.81,3936.82,3443.26,12.87,14.48
28/05/2019,1.0,4.8,-44.49,-101.2,-112.08,-102.0,-104.26,-93.89,-97.33,-98.43,-91.56,2875.57,3934.84,2797.27,3867.44,7619.9,2189.77,3940.42,3105.94,13.59,16.08
29/05/2019,24.2,2.4,-44.49,-101.2,-112.15,-102.03,-104.31,-93.89,-97.36,-98.12,-92.22,2838.17,3937.97,2051.21,3868.85,8088.59,2294.35,3944.27,3051.43,12.17,13.98
30/05/2019,2.2,5.6,-44.49,-101.02,-111.92,-102.05,-104.31,-93.67,-97.36,-98.12,-92.22,2837.52,3942.14,2508.8,3857.51,7489.04,2456.03,3760.06,3037.82,12.24,14.59
31/05/2019,3.2,1.6,-44.37,-101.02,-111.92,-102.05,-104.25,-93.67,-97.36,-98.15,-92.39,2844.32,3947.65,2505.24,3851.21,7685.89,2500.2,3734.03,3227.54,12.35,14.21
01/06/2019,0.2,0.0,-44.37,-101.02,-112.15,-102.05,-104.25,-93.67,-97.36,-98.15,-92.39,2861.78,3947.36,2856.38,3853.58,7557.73,2774.92,3935.95,3083.51,15.09,17.5
02/06/2019,9.2,0.6,-44.37,-101.02,-112.17,-102.05,-104.25,-93.67,-97.36,-98.12,-92.39,2880.4,3943.66,2773.84,3852.14,7538.29,2612.09,3939.26,2905.31,16.47,17.46
03/06/2019,1.0,1.6,-44.37,-101.02,-112.18,-102.05,-104.25,-93.67,-97.36,-98.09,-92.33,2889.65,3934.44,3233.88,3854.59,8054.57,3075.73,3917.38,3434.58,17.41,18.78
04/06/2019,0.2,0.0,-43.29,-101.11,-112.18,-102.05,-104.25,-93.71,-97.36,-98.09,-92.33,2582.1,3953.34,3187.15,3861.22,7527.13,3000.46,3454.92,3203.68,17.49,19.29
05/06/2019,0.0,0.0,-43.29,-101.19,-112.2,-102.11,-104.25,-93.75,-97.36,-98.09,-92.19,2537.86,3959.57,3265.45,3859.45,7272.9,2986.63,3229.2,3443.11,17.96,19.63
06/06/2019,0.0,0.0,-43.29,-101.25,-112.18,-102.11,-104.27,-93.85,-97.16,-98.09,-92.19,2999.52,3962.84,2663.17,3859.92,8043.48,2381.29,3924.9,2991.2,18.53,19.64
07/06/2019,0.0,0.0,-43.29,-101.27,-112.18,-102.11,-104.27,-93.85,-96.95,-98.09,-91.22,2974.39,3962.74,3015.9,3860.5,7698.85,2057.9,3924.54,3195.86,21.6,22.61
17/06/2019,0.0,0.0,-42.35,-101.16,-112.85,-101.33,-104.2,-93.9,-96.97,-98.6,-91.67,3088.48,3956.69,3365.5,3854.92,8034.41,3076.13,3900.89,3422.23,20.35,22.36
04/07/2019,0.0,0.0,-44.59,-102.99,-111.8,-101.95,-104.4,-93.99,-96.97,-98.34,-92.1,2937.1,3886.63,3048.26,3865.75,8021.45,2993.87,3901.21,3442.68,24.02,26.15
05/07/2019,0.0,0.0,-44.87,-101.15,-111.8,-101.95,-104.4,-93.99,-96.97,-98.34,-92.1,2903.44,3886.96,3048.88,3862.08,8016.98,3000.92,3899.7,3438.14,23.97,26.06
06/07/2019,0.0,0.0,-45.16,-101.15,-111.8,-101.95,-104.4,-93.99,-96.97,-98.34,-92.1,2880.86,3883.82,3047.58,3864.71,8013.13,2992.79,3898.73,3439.37,24.03,25.92
07/07/2019,0.0,0.0,-45.45,-101.15,-111.8,-101.95,-104.4,-93.99,-96.97,-98.34,-92.1,2860.2,3885.98,3042.76,3867.48,8018.89,2990.84,3902.58,3441.64,23.73,25.52
08/07/2019,0.0,0.0,-45.51,-101.15,-111.8,-101.95,-104.4,-93.99,-96.97,-98.34,-92.1,2833.13,3883.14,3028.82,3865.9,8017.56,2984.54,3902.76,3443.8,24.05,26.3
09/07/2019,0.4,1.0,-45.7,-101.15,-111.8,-101.59,-104.4,-93.86,-96.97,-98.34,-92.1,2694.17,3722.62,2902.57,3705.37,7685.78,2861.17,3738.49,3297.31,24.6,26.1
10/07/2019,10.0,18.0,-46.49,-101.04,-111.8,-101.46,-104.34,-93.86,-96.97,-98.55,-91.79,2809.08,3879.86,3231.36,3864.89,8024.44,2990.38,3900.17,3438.22,21.92,23.97
11/07/2019,0.0,0.0,-46.84,-101.04,-111.38,-101.46,-104.33,-93.86,-96.97,-98.6,-91.5,2764.26,3888.43,3339.14,3862.19,8020.4,3052.12,3897.22,3440.23,20.15,22.7
12/07/2019,0.0,0.0,-46.99,-101.04,-111.38,-101.46,-104.32,-94.11,-96.97,-98.6,-91.09,2729.77,3889.98,2821.9,3863.41,7680.64,2823.12,3900.6,3229.92,21.41,23.5
13/07/2019,0.6,0.0,-46.99,-101.04,-111.27,-101.62,-104.31,-94.11,-96.97,-98.6,-91.09,2693.09,3890.02,2751.52,3863.05,8049.17,2721.28,3901.68,3204.5,21.19,23.88
14/07/2019,0.2,0.0,-47.0,-101.04,-111.27,-101.78,-104.32,-94.11,-96.97,-98.73,-91.09,2685.64,3887.93,2821.57,3863.09,8045.42,2848.68,3901.18,3014.24,21.29,23.51
15/07/2019,0.0,0.0,-47.01,-101.04,-111.38,-101.94,-104.32,-94.11,-96.97,-99.01,-91.14,2670.16,3893.65,2788.99,3864.28,8052.16,2850.12,3903.91,3221.03,19.13,21.92
16/07/2019,0.2,0.0,-47.66,-101.04,-111.84,-102.04,-104.32,-94.11,-96.97,-99.11,-91.42,2648.99,3890.34,2891.02,3865.79,7527.35,2877.12,3901.36,3158.24,21.48,24.02
17/07/2019,0.0,0.0,-47.91,-101.04,-111.91,-102.04,-104.32,-94.11,-96.97,-99.12,-91.77,2626.85,3887.57,3049.92,3866.08,8037.86,3064.9,3892.93,3436.49,20.58,22.91
18/07/2019,0.0,0.0,-48.18,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-91.8,2598.23,3885.59,3051.11,3866.18,8036.03,3007.58,3894.23,3239.03,20.97,22.93
19/07/2019,0.0,0.0,-48.57,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44,2559.24,3882.82,3056.36,3865.75,8034.84,3055.97,3889.26,3436.49,20.69,22.95
20/07/2019,0.0,0.0,-49.06,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44,2523.2,3883.18,3058.34,3866.51,8034.84,3061.8,3888.68,3437.32,21.83,23.88
21/07/2019,0.0,0.0,-49.1,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44,2492.39,3884.4,3052.44,3867.95,8036.1,3056.94,3889.08,3438.83,23.03,25.6
22/07/2019,0.0,0.0,-49.56,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44,2465.86,3881.88,3050.42,3866.69,8031.89,3058.63,3887.06,3437.35,24.63,26.8
23/07/2019,0.0,0.0,-49.6,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44,2440.48,3883.79,3051.65,3869.78,8037.07,3048.3,3888.79,3440.41,25.61,27.63
24/07/2019,0.0,0.0,-49.9,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44,2415.53,3883.03,3043.26,3869.39,8037.47,3035.99,3884.94,3440.23,25.33,27.58
25/07/2019,0.0,0.0,-50.34,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44,2384.14,3881.34,3037.14,3868.45,8034.77,3026.09,3883.82,3439.04,25.94,28.27
26/07/2019,0.0,0.0,-50.34,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44,2360.48,3882.17,3041.03,3873.71,8037.22,3006.4,3886.96,3438.36,25.55,27.46
27/07/2019,0.0,0.2,-50.34,-101.04,-112.13,-102.04,-104.32,-94.11,-96.97,-99.28,-92.44,2347.99,3882.78,3035.09,3870.94,8036.78,3006.29,3885.01,3442.1,23.33,24.66
28/07/2019,34.0,32.6,-50.49,-101.04,-112.13,-102.04,-104.32,-93.92,-96.9,-99.0,-91.43,2325.24,3882.35,3066.05,3866.18,8009.17,3013.24,3894.7,3434.47,18.49,20.88
29/07/2019,0.0,0.0,-50.49,-101.04,-112.13,-102.4,-104.31,-93.92,-96.64,-98.83,-91.37,2214.61,3777.88,3066.23,3861.68,7994.27,2989.87,3898.22,3426.3,20.84,23.53
30/07/2019,0.0,0.0,-51.1,-101.15,-111.87,-102.4,-104.31,-93.92,-96.64,-98.83,-90.76,2295.47,3889.12,2674.26,3865.46,8000.57,2807.96,3915.04,3081.28,21.59,24.2
31/07/2019,0.0,0.0,-51.58,-101.15,-111.74,-102.4,-104.32,-93.92,-96.57,-98.83,-90.62,2264.72,3888.65,2747.63,3865.72,7687.4,2790.9,3688.06,3230.6,22.72,25.12
01/08/2019,0.0,0.0,-51.85,-101.15,-111.6,-102.4,-104.39,-93.92,-96.57,-98.83,-90.62,2239.99,3889.19,2768.51,3869.28,7607.88,2762.46,3903.95,3155.08,22.62,24.44
02/08/2019,2.4,1.6,-52.1,-101.15,-111.52,-102.4,-104.39,-93.92,-96.7,-98.83,-90.16,2214.18,3881.99,3014.35,3865.46,8019.36,2970.47,3896.89,3434.65,21.74,23.67
03/08/2019,0.0,0.0,-52.25,-101.15,-111.52,-102.4,-104.39,-93.92,-96.87,-99.2,-90.16,2192.08,3883.43,2852.24,3864.71,8009.57,3045.06,3897.68,3225.71,21.97,24.94
04/08/2019,0.0,0.0,-52.25,-101.15,-111.35,-102.4,-104.39,-93.92,-97.06,-99.05,-90.16,2172.53,3886.13,3023.32,3867.37,8014.86,2155.64,3908.23,2865.74,22.25,24.46
05/08/2019,0.0,0.0,-52.25,-101.15,-111.38,-102.4,-104.39,-93.92,-97.26,-99.05,-90.21,2147.51,3886.6,2770.02,3867.66,8014.21,2804.83,3905.5,3051.61,22.46,24.83
08/08/2019,0.0,0.0,-52.43,-101.15,-111.93,-102.4,-104.39,-93.92,-97.3,-99.88,-91.83,1944.04,3884.98,2757.92,3867.37,8009.5,2743.27,3906.47,3125.56,24.15,26.35
09/08/2019,0.0,0.0,-53.01,-101.15,-112.18,-102.4,-104.39,-93.92,-97.3,-99.88,-92.13,2060.53,3880.8,3019.68,3865.07,8003.59,3049.99,3896.1,3433.32,24.94,27.57
10/08/2019,0.0,0.0,-53.12,-101.15,-112.18,-102.4,-104.39,-93.92,-97.3,-99.88,-92.47,2027.48,3877.45,3021.37,3863.02,7997.44,3041.24,3890.7,3430.84,25.43,27.91
11/08/2019,0.0,0.0,-53.23,-101.15,-112.18,-102.4,-104.39,-93.92,-97.3,-99.88,-92.82,2009.66,3880.62,3022.45,3865.86,8000.42,3040.85,3893.69,3432.85,26.44,29.09
12/08/2019,0.0,0.0,-53.35,-101.15,-112.18,-102.4,-104.39,-93.92,-97.3,-99.88,-92.85,1993.64,3879.43,3031.31,3865.54,7996.54,3045.06,3892.9,3432.64,27.3,30.06
13/08/2019,0.0,0.0,-53.4,-101.15,-112.18,-102.4,-104.39,-93.92,-97.3,-99.88,-92.85,1977.34,3882.02,3034.73,3869.14,8001.14,3048.66,3895.49,3436.27,25.93,28.35
20/08/2019,0.0,0.0,-54.19,-101.15,-112.22,-102.4,-104.39,-93.92,-97.35,-99.7,-92.61,1877.26,3879.9,3004.63,3870.36,7989.91,3049.6,3889.26,3431.3,24.38,26.83
21/08/2019,0.0,0.0,-54.19,-101.15,-112.22,-102.4,-104.39,-93.92,-97.35,-99.47,-92.61,1661.8,3880.22,3010.43,3871.04,7988.51,2711.38,3893.44,3433.72,23.42,25.77
25/08/2019,4.8,21.2,-54.98,-101.15,-112.23,-102.4,-104.39,-93.92,-97.27,-99.37,-92.2,1787.33,3878.14,2987.35,3872.23,7981.78,3038.36,3875.98,3430.48,20.3,23.1
26/08/2019,16.4,0.0,-54.98,-101.15,-112.23,-102.4,-104.39,-93.92,-97.27,-99.79,-92.22,1771.24,3878.35,2986.24,3871.3,7978.32,2676.49,3883.18,3429.29,20.64,23.88
27/08/2019,0.2,0.8,-54.72,-101.15,-112.23,-102.4,-104.39,-93.92,-97.27,-99.79,-92.25,1579.43,3880.62,2985.66,3875.29,7982.42,2923.92,3884.15,3212.17,22.23,24.12
28/08/2019,0.0,0.0,-47.26,-101.15,-112.16,-102.4,-104.39,-93.92,-97.27,-99.79,-92.68,1511.39,3879.11,2981.88,3875.26,7982.06,2786.47,3881.48,3230.71,22.26,24.27
01/09/2019,2.0,1.4,-47.24,-101.15,-111.83,-102.4,-104.39,-93.92,-97.27,-99.71,-92.36,1534.82,3873.35,2979.0,3875.9,7979.72,2924.03,3871.66,3422.59,20.34,23.21
