Date,Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
23/02/2016,1.4,2.4,3.0,3.2,2.2,-36.92,-50.78,-295.68,8.0,8.2,7.3,-0.348571429,-3.001194581,0.0,-24.64413793
24/02/2016,0.4,0.2,0.2,0.6,0.0,-36.93,-50.79,-295.66,7.35,7.05,6.45,-0.348571429,-3.001194581,0.0,-24.64413793
25/02/2016,0.0,0.0,0.0,0.0,0.0,-36.93,-50.79,-295.68,7.05,6.45,5.5,-0.348571429,-3.001194581,0.0,-24.64413793
26/02/2016,3.4,11.2,10.0,12.4,11.0,-36.94,-50.8,-295.68,5.7,5.95,5.45,-0.348571429,-3.001194581,0.0,-24.64413793
27/02/2016,23.0,56.8,45.4,55.0,10.4,-36.93,-50.79,-295.7,5.0,5.65,4.65,-0.348571429,-3.001194581,0.0,-24.64413793
28/02/2016,45.8,47.6,49.2,52.8,59.2,-36.88,-50.76,-295.71,6.35,7.1,5.5,-0.331142857,-2.851134852,0.0,-23.41193103
29/02/2016,40.6,55.2,39.6,70.2,47.4,-36.82,-50.71,-295.67,5.0,5.4,4.4,-0.348571429,-3.001194581,0.0,-24.64413793
01/03/2016,14.0,11.0,13.6,14.4,0.4,-36.79,-50.69,-295.66,6.5,5.5,5.25,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
02/03/2016,1.0,0.0,1.0,0.0,10.0,-36.79,-50.69,-295.68,7.7,6.3,5.45,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
03/03/2016,4.0,4.8,4.2,6.8,30.6,-36.8,-50.69,-295.65,3.25,3.3,2.6,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
04/03/2016,0.0,1.6,0.0,0.0,5.2,-36.82,-50.71,-295.58,4.5,3.45,3.9,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
05/03/2016,0.0,0.0,0.0,0.0,0.2,-36.84,-50.72,-295.59,4.45,4.05,4.15,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
06/03/2016,27.2,24.1,16.0,29.6,20.0,-36.85,-50.73,-295.56,3.85,3.25,2.45,-0.321950993,-2.7159156330000003,-4.894062903,-20.55872164
07/03/2016,6.0,7.4,9.8,7.2,0.0,-36.86,-50.74,-295.54,3.45,2.3,2.35,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
08/03/2016,0.8,0.4,0.8,0.2,0.0,-36.87,-50.75,-295.51,2.6,1.6,1.45,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
09/03/2016,11.2,5.6,7.8,15.8,17.2,-36.88,-50.75,-295.51,1.35,2.4,1.25,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
10/03/2016,2.8,18.8,0.6,6.6,25.2,-36.89,-50.76,-295.49,3.9,5.15,3.45,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
11/03/2016,1.2,1.4,0.0,1.0,10.6,-36.9,-50.77,-295.48,5.35,6.2,4.7,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
12/03/2016,0.0,0.0,0.0,0.0,0.2,-36.91,-50.78,-295.48,5.0,5.55,4.35,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
13/03/2016,0.0,0.0,0.0,0.0,0.0,-36.92,-50.79,-295.46,4.75,6.15,3.85,-0.321950993,-2.7159156330000003,-4.894062903,-20.55872164
14/03/2016,0.0,0.0,0.0,0.0,0.0,-36.93,-50.79,-295.44,4.1,4.2,2.95,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
15/03/2016,0.0,0.0,0.0,0.0,0.0,-36.94,-50.8,-295.46,4.4,3.45,2.95,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
16/03/2016,0.0,0.0,0.0,0.0,0.0,-36.95,-50.8,-295.47,5.05,3.5,3.2,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
17/03/2016,3.2,4.4,4.4,4.4,5.4,-36.96,-50.81,-295.44,5.6,6.2,4.85,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
18/03/2016,0.0,0.0,0.0,0.0,0.0,-36.96,-50.81,-295.49,8.2,6.75,6.75,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
19/03/2016,0.0,0.4,0.0,0.0,0.0,-36.97,-50.82,-295.49,8.3,7.05,5.85,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
20/03/2016,0.0,0.0,0.0,0.0,0.0,-36.97,-50.83,-295.5,7.65,5.5,5.6,-0.321950993,-2.7159156330000003,-4.894062903,-20.55872164
21/03/2016,0.2,0.0,0.0,0.0,0.0,-36.98,-50.83,-295.55,10.55,10.35,8.95,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
22/03/2016,0.0,0.0,0.0,0.0,0.0,-36.97,-50.83,-295.64,9.85,10.1,8.2,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
23/03/2016,16.0,22.4,20.6,30.0,12.6,-36.97,-50.82,-295.72,3.8,5.55,3.5,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
24/03/2016,3.0,1.2,2.0,1.2,4.6,-36.98,-50.83,-295.61,5.4,5.25,4.25,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
25/03/2016,0.0,0.0,0.0,0.0,0.4,-36.99,-50.84,-295.51,7.2,5.4,5.2,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
26/03/2016,0.0,0.0,0.0,0.0,0.0,-36.99,-50.84,-295.52,7.35,7.0,6.35,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
27/03/2016,0.0,0.0,0.0,0.0,0.0,-37.0,-50.85,-295.53,9.5,8.05,7.35,-0.321950993,-2.7159156330000003,-4.894062903,-20.55872164
28/03/2016,0.2,2.8,3.6,5.4,1.8,-37.01,-50.85,-295.57,8.15,7.75,6.6,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
29/03/2016,0.0,2.2,1.2,3.0,1.2,-37.02,-50.86,-295.57,10.25,10.75,8.65,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
30/03/2016,0.0,0.0,0.0,0.0,0.0,-37.02,-50.87,-295.55,11.45,11.0,9.95,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
31/03/2016,0.0,0.0,0.0,0.0,0.0,-37.03,-50.87,-295.59,13.7,13.25,12.55,-0.33889578200000003,-2.8588585610000004,-5.151645161,-21.64075963
01/04/2016,0.0,0.0,0.0,0.0,0.0,-37.03,-50.87,-295.64,14.45,12.95,12.35,-0.359876543,-2.960901235,-5.404655556,-21.63775556
02/04/2016,0.0,0.0,0.0,0.0,0.0,-37.03,-50.88,-295.65,16.25,14.65,14.2,-0.359876543,-2.960901235,-5.404655556,-21.63775556
03/04/2016,0.0,0.0,0.0,0.0,0.0,-37.04,-50.88,-295.65,14.9,13.05,12.85,-0.34188271600000003,-2.812856173,-5.134422778,-20.55586778
04/04/2016,0.0,0.0,0.0,0.0,0.0,-37.04,-50.88,-295.69,14.9,13.75,13.8,-0.359876543,-2.960901235,-5.404655556,-21.63775556
05/04/2016,0.0,0.0,0.0,0.0,0.0,-37.04,-50.88,-295.73,16.25,13.35,14.0,-0.359876543,-2.960901235,-5.404655556,-21.63775556
06/04/2016,0.0,0.0,0.0,0.0,0.0,-37.05,-50.88,-295.77,17.15,14.6,14.4,-0.359876543,-2.960901235,-5.404655556,-21.63775556
07/04/2016,0.0,0.4,0.0,0.2,0.0,-37.05,-50.88,-295.8,17.15,14.95,14.4,-0.359876543,-2.960901235,-5.404655556,-21.63775556
08/04/2016,1.2,0.4,0.6,0.6,2.2,-37.05,-50.88,-295.86,11.15,9.95,9.65,-0.359876543,-2.960901235,-5.404655556,-21.63775556
09/04/2016,2.8,3.6,4.2,4.0,6.0,-37.05,-50.89,-295.88,8.5,7.45,6.35,-0.359876543,-2.960901235,-5.404655556,-21.63775556
10/04/2016,0.0,0.0,0.0,0.0,0.0,-37.06,-50.89,-295.84,9.25,9.35,7.35,-0.34188271600000003,-2.812856173,-5.134422778,-20.55586778
11/04/2016,0.0,0.0,0.0,0.0,0.0,-37.06,-50.9,-295.81,11.85,9.3,9.05,-0.359876543,-2.960901235,-5.404655556,-21.63775556
12/04/2016,0.0,0.0,0.0,0.0,0.0,-37.07,-50.9,-295.82,13.25,12.35,12.45,-0.359876543,-2.960901235,-5.404655556,-21.63775556
13/04/2016,0.0,0.0,0.0,0.0,0.0,-37.07,-50.9,-295.86,14.5,12.55,12.55,-0.359876543,-2.960901235,-5.404655556,-21.63775556
14/04/2016,0.0,0.0,0.0,0.0,0.0,-37.07,-50.91,-295.89,12.05,11.0,10.45,-0.359876543,-2.960901235,-5.404655556,-21.63775556
15/04/2016,0.0,0.0,0.0,0.0,0.0,-37.08,-50.91,-295.88,12.8,11.65,10.4,-0.359876543,-2.960901235,-5.404655556,-21.63775556
16/04/2016,0.0,0.0,0.0,0.0,0.0,-37.08,-50.91,-295.9,12.35,11.75,11.75,-0.359876543,-2.960901235,-5.404655556,-21.63775556
17/04/2016,0.0,0.0,0.0,0.0,0.0,-37.09,-50.92,-295.93,14.65,13.45,13.0,-0.34188271600000003,-2.812856173,-5.134422778,-20.55586778
18/04/2016,0.0,0.0,0.0,0.0,0.0,-37.09,-50.92,-295.95,12.9,11.55,11.2,-0.359876543,-2.960901235,-5.404655556,-21.63775556
19/04/2016,0.0,0.0,0.0,0.0,0.0,-37.1,-50.93,-295.98,9.95,10.45,9.05,-0.359876543,-2.960901235,-5.404655556,-21.63775556
20/04/2016,0.0,0.0,0.0,0.0,0.0,-37.11,-50.93,-295.96,12.5,11.1,11.55,-0.359876543,-2.960901235,-5.404655556,-21.63775556
21/04/2016,0.0,0.0,0.0,0.0,0.0,-37.11,-50.94,-295.97,12.75,10.85,10.85,-0.359876543,-2.960901235,-5.404655556,-21.63775556
22/04/2016,0.0,0.8,0.4,0.8,1.0,-37.11,-50.94,-296.04,11.75,10.9,10.2,-0.359876543,-2.960901235,-5.404655556,-21.63775556
23/04/2016,12.8,11.6,17.2,14.0,15.0,-37.1,-50.93,-296.15,11.1,10.95,9.6,-0.359876543,-2.960901235,-5.404655556,-21.63775556
24/04/2016,11.8,25.3,12.8,26.4,20.0,-37.1,-50.93,-296.22,8.2,8.35,7.0,-0.34188271600000003,-2.812856173,-5.134422778,-20.55586778
25/04/2016,31.6,20.6,26.2,20.2,22.6,-37.1,-50.93,-296.2,3.15,4.1,3.45,-0.359876543,-2.960901235,-5.404655556,-21.63775556
26/04/2016,0.2,1.4,1.2,1.0,4.6,-37.11,-50.93,-296.17,8.15,6.15,5.6,-0.359876543,-2.960901235,-5.404655556,-21.63775556
27/04/2016,0.0,0.0,0.0,0.0,0.0,-37.12,-50.94,-296.19,10.1,10.25,8.9,-0.359876543,-2.960901235,-5.404655556,-21.63775556
28/04/2016,0.2,1.4,0.2,1.6,0.8,-37.12,-50.94,-296.18,8.6,8.95,7.1,-0.359876543,-2.960901235,-5.404655556,-21.63775556
29/04/2016,7.2,11.8,21.4,15.0,18.2,-37.12,-50.95,-296.18,11.0,10.8,10.0,-0.359876543,-2.960901235,-5.404655556,-21.63775556
30/04/2016,0.0,0.0,0.0,0.2,0.0,-37.12,-50.95,-296.2,12.0,10.05,9.8,-0.359876543,-2.960901235,-5.404655556,-21.63775556
01/05/2016,9.2,7.4,11.4,10.2,10.4,-37.12,-50.95,-296.28,8.7,8.85,7.45,-0.33573257,-2.724404266,-4.969468783,-21.76851353
02/05/2016,11.0,11.0,11.4,13.2,9.8,-37.12,-50.95,-296.3,8.3,9.45,7.6,-0.353402706,-2.867793965,-5.231019771000001,-22.91422477
03/05/2016,0.6,0.0,0.4,0.0,2.2,-37.13,-50.95,-296.29,11.85,12.1,10.95,-0.353402706,-2.867793965,-5.231019771000001,-22.91422477
04/05/2016,2.4,0.4,0.4,0.8,1.0,-37.13,-50.96,-296.28,11.55,10.7,10.45,-0.353402706,-2.867793965,-5.231019771000001,-22.91422477
05/05/2016,0.0,0.0,0.0,0.0,0.0,-37.14,-50.96,-296.28,10.15,9.65,9.1,-0.353402706,-2.867793965,-5.231019771000001,-22.91422477
06/05/2016,0.0,0.0,0.0,0.2,0.0,-37.14,-50.96,-296.31,12.15,10.65,10.45,-0.353402706,-2.867793965,-5.231019771000001,-22.91422477
07/05/2016,0.0,0.0,0.0,0.0,0.0,-37.14,-50.96,-296.36,13.7,11.2,11.4,-0.353402706,-2.867793965,-5.231019771000001,-22.91422477
08/05/2016,0.0,0.0,0.2,0.0,0.2,-37.14,-50.97,-296.38,13.45,10.95,12.0,-0.33573257,-2.724404266,-4.969468783,-21.76851353
09/05/2016,0.0,0.0,0.0,0.0,0.0,-37.15,-50.97,-296.37,15.0,13.25,13.05,-0.353402706,-2.867793965,-5.231019771000001,-22.91422477
10/05/2016,0.0,0.0,0.0,0.0,0.0,-37.15,-50.97,-296.41,15.75,14.4,14.2,-0.353402706,-2.867793965,-5.231019771000001,-22.91422477
11/05/2016,0.0,0.2,0.2,0.4,0.4,-37.15,-50.97,-296.5,15.0,13.85,13.25,-0.353402706,-2.867793965,-5.231019771000001,-22.91422477
12/05/2016,4.2,8.5,8.8,10.4,17.2,-37.15,-50.97,-296.56,12.65,11.85,11.95,-0.353402706,-2.867793965,-5.231019771000001,-22.91422477
13/05/2016,2.0,0.0,0.2,0.2,0.6,-37.15,-50.97,-296.56,11.7,11.2,10.65,-0.353402706,-2.867793965,-5.231019771000001,-22.91422477
14/05/2016,3.4,2.8,2.4,4.8,3.2,-37.15,-50.97,-296.56,12.9,12.25,11.0,-0.353402706,-2.867793965,-5.231019771000001,-22.91422477
03/07/2016,0.0,0.0,0.0,0.0,0.0,-37.27,-51.06,-297.35,21.9,21.0,20.9,-0.336275922,-2.670047235,-4.8150318180000005,-21.42398283
04/07/2016,0.0,0.0,0.0,0.0,0.0,-37.27,-51.06,-297.36,23.0,20.6,20.65,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
05/07/2016,0.0,0.0,0.0,0.0,0.2,-37.27,-51.06,-297.4,23.65,21.8,21.4,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
06/07/2016,0.0,0.0,0.0,0.0,12.0,-37.27,-51.07,-297.43,21.2,21.4,21.1,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
07/07/2016,0.0,19.4,0.2,17.6,12.8,-37.28,-51.07,-297.43,23.25,22.0,21.3,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
08/07/2016,0.0,0.0,0.0,0.0,0.2,-37.28,-51.07,-297.43,23.6,21.25,20.55,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
09/07/2016,0.0,0.0,0.0,0.0,0.0,-37.29,-51.07,-297.47,23.05,20.95,20.3,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
10/07/2016,0.0,0.0,0.0,0.0,0.0,-37.29,-51.07,-297.51,24.8,22.45,22.0,-0.336275922,-2.670047235,-4.8150318180000005,-21.42398283
11/07/2016,0.0,0.0,0.6,0.0,0.0,-37.29,-51.08,-297.54,25.15,22.95,22.55,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
12/07/2016,0.0,0.0,0.0,0.0,0.0,-37.29,-51.08,-297.58,24.2,21.95,21.3,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
13/07/2016,0.0,0.0,0.0,0.0,0.0,-37.29,-51.08,-297.62,21.25,20.15,19.65,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
14/07/2016,13.2,2.8,8.8,1.8,4.8,-37.29,-51.08,-297.65,18.4,18.05,17.85,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
15/07/2016,3.8,6.4,3.4,9.6,10.0,-37.3,-51.08,-297.66,12.5,13.85,12.15,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
16/07/2016,0.8,1.8,0.6,1.8,2.6,-37.3,-51.09,-297.63,15.1,14.65,14.3,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
17/07/2016,0.0,0.0,0.0,0.2,0.0,-37.31,-51.09,-297.62,16.9,16.8,16.05,-0.336275922,-2.670047235,-4.8150318180000005,-21.42398283
18/07/2016,0.0,0.0,0.0,0.0,0.0,-37.31,-51.09,-297.63,22.45,20.1,19.45,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
19/07/2016,0.0,0.0,0.0,0.0,0.0,-37.31,-51.09,-297.67,24.0,22.15,20.95,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
20/07/2016,0.0,0.0,0.0,0.0,0.0,-37.31,-51.1,-297.7,24.35,21.55,21.15,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
21/07/2016,0.0,0.0,0.0,0.0,0.0,-37.32,-51.1,-297.74,24.3,21.4,21.0,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
22/07/2016,0.0,0.0,0.0,0.0,0.0,-37.32,-51.1,-297.77,23.25,20.6,20.2,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
23/07/2016,0.0,0.0,0.0,0.0,0.0,-37.32,-51.1,-297.79,22.85,21.8,20.85,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
24/07/2016,0.2,0.0,0.0,0.0,0.4,-37.32,-51.1,-297.82,21.35,21.45,19.7,-0.336275922,-2.670047235,-4.8150318180000005,-21.42398283
25/07/2016,5.6,2.4,15.6,2.2,3.2,-37.33,-51.1,-297.85,21.65,20.35,19.95,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
26/07/2016,0.0,0.0,3.0,0.2,0.0,-37.33,-51.11,-297.86,23.8,22.3,21.5,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
27/07/2016,0.2,15.9,0.4,23.6,27.8,-37.33,-51.11,-297.88,23.15,21.3,19.65,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
28/07/2016,5.4,16.8,0.2,6.2,4.2,-37.33,-51.11,-297.91,22.3,20.65,19.7,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
29/07/2016,0.0,0.0,0.2,0.2,0.0,-37.34,-51.11,-297.92,21.5,20.8,20.1,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
30/07/2016,0.0,0.0,0.0,0.2,0.2,-37.34,-51.11,-297.94,23.2,21.9,21.3,-0.353974654,-2.8105760369999997,-5.068454545,-22.55156087
31/07/2016,0.0,0.0,0.0,0.0,0.0,-37.34,-51.11,-297.97,23.7,21.65,20.65,-0.336275922,-2.670047235,-4.8150318180000005,-21.42398283
01/08/2016,1.4,0.0,0.2,0.0,0.0,-37.34,-51.12,-298.01,21.05,20.35,18.95,-0.354172737,-2.9118002080000003,0.0,-22.18016649
02/08/2016,0.0,6.5,0.2,3.6,4.4,-37.34,-51.12,-298.01,20.65,19.8,19.7,-0.354172737,-2.9118002080000003,0.0,-22.18016649
03/08/2016,0.0,0.0,0.0,0.0,0.0,-37.34,-51.12,-298.03,22.35,21.0,20.65,-0.354172737,-2.9118002080000003,0.0,-22.18016649
10/08/2016,0.0,0.0,0.0,0.0,0.0,-37.37,-51.14,-298.22,19.95,18.85,18.5,-0.354172737,-2.9118002080000003,0.0,-22.18016649
11/08/2016,0.0,0.4,0.0,1.6,1.0,-37.37,-51.14,-298.21,15.1,15.2,14.7,-0.354172737,-2.9118002080000003,0.0,-22.18016649
12/08/2016,0.0,0.0,0.0,0.0,0.0,-37.38,-51.15,-298.19,15.25,15.3,14.95,-0.354172737,-2.9118002080000003,0.0,-22.18016649
13/08/2016,0.0,0.0,0.0,0.0,0.0,-37.38,-51.15,-298.2,17.7,16.75,16.85,-0.354172737,-2.9118002080000003,0.0,-22.18016649
14/08/2016,0.0,0.0,0.0,0.0,0.0,-37.39,-51.15,-298.23,20.95,19.35,18.7,-0.3364641,-2.766210198,0.0,-21.07115817
15/08/2016,0.0,0.0,0.0,0.0,0.0,-37.39,-51.16,-298.27,22.2,21.25,19.9,-0.354172737,-2.9118002080000003,0.0,-22.18016649
16/08/2016,0.0,0.0,0.0,0.0,0.0,-37.39,-51.16,-298.32,21.65,20.55,19.45,-0.354172737,-2.9118002080000003,0.0,-22.18016649
17/08/2016,0.0,0.0,0.0,0.0,0.0,-37.39,-51.16,-298.38,20.75,18.9,18.2,-0.354172737,-2.9118002080000003,0.0,-22.18016649
18/08/2016,0.0,0.0,0.0,0.0,0.0,-37.39,-51.16,-298.41,19.5,18.7,17.7,-0.354172737,-2.9118002080000003,0.0,-22.18016649
19/08/2016,3.2,1.6,7.4,1.8,1.2,-37.4,-51.16,-298.41,20.05,18.85,18.35,-0.354172737,-2.9118002080000003,0.0,-22.18016649
20/08/2016,13.6,0.8,0.2,2.6,0.2,-37.4,-51.17,-298.41,22.6,20.45,19.85,-0.354172737,-2.9118002080000003,0.0,-22.18016649
21/08/2016,0.0,0.0,0.0,0.0,0.0,-37.4,-51.17,-298.44,22.95,19.75,19.95,-0.3364641,-2.766210198,0.0,-21.07115817
22/08/2016,0.0,0.0,0.0,0.0,0.2,-37.41,-51.17,-298.44,17.6,17.9,17.15,-0.354172737,-2.9118002080000003,0.0,-22.18016649
23/08/2016,0.0,0.0,0.0,0.0,0.0,-37.41,-51.17,-298.45,18.05,17.35,17.85,-0.354172737,-2.9118002080000003,0.0,-22.18016649
24/08/2016,0.0,0.0,0.0,0.0,0.0,-37.41,-51.18,-298.51,19.35,19.2,19.05,-0.354172737,-2.9118002080000003,0.0,-22.18016649
25/08/2016,0.0,0.0,0.0,0.0,0.0,-37.42,-51.18,-298.55,20.35,19.6,19.1,-0.354172737,-2.9118002080000003,0.0,-22.18016649
26/08/2016,0.0,0.0,0.0,0.0,0.0,-37.42,-51.18,-298.57,21.5,19.35,19.35,-0.354172737,-2.9118002080000003,0.0,-22.18016649
27/08/2016,0.0,0.0,0.2,0.0,0.0,-37.42,-51.18,-298.58,23.25,20.35,20.15,-0.354172737,-2.9118002080000003,0.0,-22.18016649
28/08/2016,0.0,0.0,0.0,0.0,0.0,-37.42,-51.19,-298.62,22.0,19.35,19.25,-0.3364641,-2.766210198,0.0,-21.07115817
29/08/2016,0.0,0.0,0.0,0.0,0.0,-37.43,-51.19,-298.66,21.7,20.0,19.5,-0.354172737,-2.9118002080000003,0.0,-22.18016649
