Date,Rainfall_Gallicano,Rainfall_Pontetetto,Rainfall_Monte_Serra,Rainfall_Orentano,Rainfall_Borgo_a_Mozzano,Rainfall_Piaggione,Rainfall_Calavorno,Rainfall_Croce_Arcana,Rainfall_Tereglio_Coreglia_Antelminelli,Rainfall_Fabbriche_di_Vallico,Depth_to_Groundwater_LT2,Depth_to_Groundwater_SAL,Depth_to_Groundwater_PAG,Depth_to_Groundwater_CoS,Depth_to_Groundwater_DIEC,Temperature_Orentano,Temperature_Monte_Serra,Temperature_Ponte_a_Moriano,Temperature_Lucca_Orto_Botanico,Volume_POL,Volume_CC1,Volume_CC2,Volume_CSA,Volume_CSAL,Hydrometry_Monte_S_Quirico,Hydrometry_Piaggione
20/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.93,-6.09,-2.51,-7.14,-4.04,20.5,15.85,20.5,21.75,-10972.8,-16097.184,-12735.36,0.0,0.0,0.15,-1.06
21/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.95,-6.11,-2.54,-7.18,-4.05,21.7,18.5,21.5,22.5,-10972.8,-16097.184,-12735.36,0.0,0.0,0.14,-1.08
22/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.95,-6.13,-2.57,-7.25,-4.05,23.35,19.95,23.9,24.1,-10972.8,-16097.184,-12735.36,0.0,0.0,0.14,-1.07
23/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.93,-6.11,-2.59,-7.13,-4.05,22.7,18.45,22.3,23.7,-10972.8,-16097.184,-12735.36,0.0,0.0,0.14,-1.07
24/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.93,-6.14,-2.58,-7.27,-4.05,22.6,16.75,22.2,23.25,-10972.8,-16097.184,-12735.36,0.0,0.0,0.14,-1.06
25/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,-12.96,-6.16,-2.64,-7.37,-4.05,23.15,18.5,22.9,23.9,-10972.8,-16097.184,-12735.36,0.0,0.0,0.14,-1.05
26/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.99,-6.16,-2.66,-7.41,-4.05,24.1,19.75,24.3,25.25,-10424.16,-15292.3248,-12098.591999999999,0.0,0.0,0.14,-1.05
27/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.98,-6.17,-2.68,-7.41,-4.06,23.75,21.05,23.65,24.85,-10972.8,-16097.184,-12735.36,0.0,0.0,0.14,-1.05
28/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.96,-6.18,-2.71,-7.43,-4.06,25.35,20.7,24.55,25.65,-10972.8,-16097.184,-12735.36,0.0,0.0,0.15,-1.04
29/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-12.95,-6.19,-2.72,-7.48,-4.08,26.15,20.8,24.6,27.25,-10972.8,-16097.184,-12735.36,0.0,0.0,0.15,-1.04
30/06/2011,6.2,0.0,0.0,0.0,1.0,0.0,0.2,3.4,0.0,6.6,-12.96,-6.17,-2.73,-7.31,-4.08,24.65,18.65,24.4,25.95,-10972.8,-16097.184,-12735.36,0.0,0.0,0.15,-1.04
01/07/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,-12.97,-6.19,-2.74,-7.24,-4.09,24.65,17.95,24.05,25.75,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.15,-1.04
02/07/2011,1.2,0.0,0.0,0.0,0.0,0.0,0.0,33.4,5.0,0.2,-12.97,-6.19,-2.76,-7.38,-4.09,20.85,15.9,21.2,21.9,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.14,-1.05
03/07/2011,6.8,0.0,0.0,0.2,2.4,1.2,4.4,6.0,0.0,3.0,-12.99,-6.14,-2.76,-7.37,-4.1,20.95,16.35,21.25,22.05,-11056.176000000001,-15511.8888,-12008.303999999998,0.0,0.0,0.14,-1.05
04/07/2011,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.0,-13.01,-6.17,-2.69,-7.4,-4.11,22.9,17.3,22.1,23.45,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.15,-1.05
05/07/2011,8.4,1.8,0.0,0.6,7.4,2.4,8.2,1.4,7.0,24.4,-13.0,-6.17,-2.68,-7.41,-4.11,24.35,18.3,23.3,24.55,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.14,-1.05
06/07/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-13.01,-6.18,-2.88,-7.46,-4.12,24.55,18.9,23.65,25.0,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.14,-1.05
07/07/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.04,-6.18,-2.82,-7.58,-4.13,24.85,19.85,24.6,25.65,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.13,-1.06
08/07/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.05,-6.18,-2.87,-7.68,-4.14,26.4,21.05,25.05,26.35,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.14,-1.05
09/07/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.07,-6.24,-2.87,-7.79,-4.15,25.75,20.6,25.35,26.2,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.13,-1.06
10/07/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.09,-6.22,-2.88,-7.86,-4.16,26.45,21.45,25.95,26.95,-11056.176000000001,-15511.8888,-12008.303999999998,0.0,0.0,0.16,-1.06
11/07/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.08,-6.22,-2.89,-7.86,-4.17,27.15,22.55,26.75,27.35,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.13,-1.07
12/07/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.09,-6.28,-3.06,-7.94,-4.17,28.2,24.5,27.9,28.5,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.14,-1.05
13/07/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.07,-6.22,-3.04,-8.02,-4.18,28.25,23.0,27.5,28.4,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.14,-1.05
14/07/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.09,-6.13,-3.09,-8.05,-4.19,25.05,18.65,24.05,26.55,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.12,-1.06
15/07/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-13.14,-6.14,-3.0,-8.11,-4.2,22.75,16.5,21.65,23.8,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.12,-1.06
16/07/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.15,-6.12,-3.08,-8.16,-4.21,21.65,16.15,21.2,22.9,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.12,-1.06
17/07/2011,0.0,0.6,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,-13.11,-6.08,-2.98,-8.02,-4.22,24.1,18.0,22.6,24.45,-11056.176000000001,-15511.8888,-12008.303999999998,0.0,0.0,0.13,-1.06
18/07/2011,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,-13.09,-6.08,-2.96,-8.14,-4.22,21.65,14.9,20.1,22.55,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.12,-1.06
19/07/2011,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,-13.09,-6.12,-2.97,-8.15,-4.23,20.2,15.3,20.1,21.95,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.13,-1.05
20/07/2011,24.0,21.2,0.0,16.0,22.2,27.2,24.0,18.0,2.2,24.0,-13.08,-6.08,-2.81,-8.12,-4.21,20.35,12.9,19.2,20.5,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.14,-1.05
21/07/2011,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.1,-6.04,-2.86,-8.06,-4.22,20.0,13.8,19.35,20.8,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.13,-1.06
22/07/2011,0.0,1.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-13.1,-6.22,-2.85,-8.05,-4.23,22.4,15.7,21.3,23.6,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.13,-1.07
23/07/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.09,-6.23,-2.88,-8.11,-4.24,20.65,15.15,20.15,21.3,-11638.08,-16328.303999999998,-12640.32,0.0,0.0,0.13,-1.07
24/07/2011,3.8,0.0,4.0,0.0,6.8,1.8,4.4,2.0,1.6,7.0,-13.07,-6.16,-2.9,-8.17,-4.24,20.9,14.75,19.75,22.0,-11056.176000000001,-15511.8888,-12008.303999999998,0.0,0.0,0.13,-1.06
21/09/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.35,-6.27,-2.85,-8.96,-4.54,19.25,17.2,20.4,20.0,-11623.33333,-16921.44,-13020.48,0.0,0.0,0.08,-1.15
22/09/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.34,-6.28,-2.94,-8.98,-4.55,20.05,18.2,20.65,20.6,-11623.33333,-16921.44,-13020.48,0.0,0.0,0.08,-1.15
23/09/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.33,-6.28,-2.97,-8.98,-4.56,20.9,18.7,21.7,21.95,-11623.33333,-16921.44,-13020.48,0.0,0.0,0.08,-1.15
24/09/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.34,-6.3,-2.98,-9.02,-4.56,21.75,18.25,22.4,21.9,-11623.33333,-16921.44,-13020.48,0.0,0.0,0.08,-1.15
25/09/2011,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,-13.36,-6.28,-2.94,-9.02,-4.57,21.9,17.6,22.2,21.65,-11042.16667,-16075.368,-12369.456,0.0,0.0,0.09,-1.14
26/09/2011,0.0,8.0,0.0,10.4,3.8,14.0,0.0,0.2,0.0,0.0,-13.39,-6.25,-2.82,-9.02,-4.58,21.5,18.65,22.7,22.0,-11623.33333,-16921.44,-13020.48,0.0,0.0,0.08,-1.15
27/09/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.41,-6.26,-2.8,-9.03,-4.58,21.7,19.3,22.9,22.3,-11623.33333,-16921.44,-13020.48,0.0,0.0,0.08,-1.16
28/09/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.41,-6.26,-2.73,-9.01,-4.59,20.75,18.35,22.1,21.5,-11623.33333,-16921.44,-13020.48,0.0,0.0,0.08,-1.16
29/09/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.41,-6.29,-2.91,-8.99,-4.6,21.25,18.05,21.25,20.75,-11623.33333,-16921.44,-13020.48,0.0,0.0,0.08,-1.16
30/09/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.41,-6.29,-2.97,-8.96,-4.61,20.15,18.4,21.8,20.8,-11623.33333,-16921.44,-13020.48,0.0,0.0,0.08,-1.17
01/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.41,-6.31,-2.94,-8.99,-4.61,20.2,18.95,21.8,21.0,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.07,-1.17
02/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.4,-6.31,-3.01,-9.05,-4.62,20.75,20.3,21.75,21.3,-10454.42173,-15554.9808,-12090.383999999998,0.0,0.0,0.08,-1.17
03/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.4,-6.32,-2.99,-9.04,-4.63,20.9,19.25,22.65,21.45,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.07,-1.17
04/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.4,-6.32,-3.01,-9.02,-4.63,19.55,19.0,20.15,20.0,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.07,-1.16
05/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.39,-6.32,-3.01,-9.0,-4.64,19.8,19.6,20.65,20.3,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.07,-1.17
06/10/2011,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-13.38,-6.33,-2.88,-9.0,-4.64,19.25,16.1,18.75,19.4,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.08,-1.16
07/10/2011,16.0,0.0,0.0,0.0,9.8,1.8,15.2,8.4,27.2,11.6,-13.31,-6.27,-2.9,-8.96,-4.64,16.7,12.05,16.1,18.85,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.08,-1.14
08/10/2011,10.6,0.0,0.0,0.0,8.2,1.0,16.8,15.8,0.0,19.0,-13.33,-6.34,-2.99,-8.97,-4.63,12.8,11.3,13.2,14.6,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.07,-1.16
09/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.35,-6.34,-3.01,-9.02,-4.64,11.85,10.9,12.95,13.95,-10454.42173,-15554.9808,-12090.383999999998,0.0,0.0,0.06,-1.16
10/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.41,-6.32,-2.91,-9.06,-4.65,13.1,11.3,14.2,14.05,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.07,-1.16
11/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.4,-6.34,-2.96,-9.05,-4.66,16.7,16.35,17.45,16.4,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.07,-1.16
12/10/2011,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-13.39,-6.36,-3.0,-9.07,-4.66,16.95,15.8,17.3,18.15,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.08,-1.15
13/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-13.38,-6.36,-2.9,-9.05,-4.67,18.85,15.8,19.3,19.95,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.08,-1.16
14/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.43,-6.39,-2.92,-9.09,-4.67,14.3,10.15,14.85,16.85,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.07,-1.17
15/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.46,-6.41,-3.03,-9.13,-4.68,11.7,8.25,11.3,12.8,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.06,-1.18
16/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.46,-6.4,-2.96,-9.11,-4.68,11.65,9.6,13.2,12.0,-10454.42173,-15554.9808,-12090.383999999998,0.0,0.0,0.06,-1.18
17/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.47,-6.37,-2.94,-9.1,-4.69,11.0,8.65,12.7,11.85,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.06,-1.17
18/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.46,-6.41,-2.99,-9.08,-4.69,11.25,10.0,12.55,11.8,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.07,-1.17
19/10/2011,16.0,4.2,2.4,1.0,4.4,4.8,11.2,0.2,20.4,21.4,-13.44,-6.4,-3.0,-9.07,-4.69,16.7,11.2,16.35,16.9,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.08,-1.15
20/10/2011,50.2,15.0,1.8,8.2,44.0,14.4,59.4,9.4,42.4,43.4,-13.4,-6.41,-2.98,-8.99,-4.67,14.35,9.1,13.4,14.65,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.16,-1.11
21/10/2011,0.2,0.0,0.0,0.0,0.2,0.2,0.4,1.6,0.2,0.6,-13.44,-6.39,-2.96,-9.0,-4.66,10.7,7.55,11.2,12.1,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.14,-1.16
22/10/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.45,-6.39,-2.98,-9.05,-4.69,8.65,6.15,10.2,9.95,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.1,-1.17
23/10/2011,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.43,-6.38,-2.91,-9.05,-4.7,9.1,7.05,10.55,9.55,-10454.42173,-15554.9808,-12090.383999999998,0.0,0.0,0.08,-1.17
24/10/2011,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-13.4,-6.35,-2.86,-9.02,-4.7,11.5,6.7,11.0,11.9,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.13,-1.15
25/10/2011,18.0,19.6,13.8,5.8,18.4,16.0,23.4,12.8,92.0,17.6,-13.37,-6.33,-2.74,-8.96,-4.69,14.55,11.0,14.25,15.2,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,0.27,-0.84
26/10/2011,212.0,16.4,9.8,29.2,59.8,32.8,88.8,52.4,23.0,160.6,-13.38,-6.27,-2.64,-8.9,-3.94,14.8,11.5,16.15,15.45,-11004.65445,-16373.663999999999,-12726.72,0.0,0.0,1.14,1.67
