Date,Rainfall_Settefrati,Temperature_Settefrati,Flow_Rate_Madonna_di_Canneto
08/03/2017,0.0,8.4,286.4191484
09/03/2017,0.0,10.55,286.6520425
10/03/2017,1.4,10.85,287.22234130000004
11/03/2017,0.2,7.35,286.7405164
12/03/2017,0.0,6.8,286.39973100000003
13/03/2017,0.0,8.7,286.5646176
14/03/2017,0.0,8.65,286.72199900000004
15/03/2017,0.0,8.25,286.8243296
16/03/2017,0.0,9.65,286.9755518
17/03/2017,0.0,11.5,287.7310898
18/03/2017,0.0,10.1,288.4987318
19/03/2017,0.0,10.3,288.6876497
20/03/2017,0.0,12.95,288.0903892
21/03/2017,0.0,13.05,287.5985477
22/03/2017,0.0,13.5,287.1178523
23/03/2017,0.0,13.1,287.096405
24/03/2017,0.0,14.65,287.25974489999993
25/03/2017,0.0,15.5,287.26295760000005
26/03/2017,2.4,12.05,287.231903
27/03/2017,8.2,7.35,228.3064201
28/03/2017,0.0,8.55,286.7941969
29/03/2017,0.0,11.55,286.29798250000005
30/03/2017,0.0,14.65,284.8807108
31/03/2017,0.0,15.2,286.3353148
01/04/2017,0.0,13.6,286.4176215
02/04/2017,5.2,11.45,286.45502739999995
03/04/2017,12.0,9.55,285.9679685
04/04/2017,2.4,11.6,286.00384069999996
05/04/2017,14.5,11.75,286.32539239999994
06/04/2017,12.4,10.7,286.4090661
07/04/2017,0.0,10.55,286.4779599
11/04/2017,5.6,14.25,286.7788145
12/04/2017,0.6,13.95,286.5581728
13/04/2017,0.2,13.75,286.7820897
14/04/2017,0.0,13.55,286.92911910000004
15/04/2017,0.0,13.25,287.02982569999995
16/04/2017,2.0,13.95,287.1842157
17/04/2017,1.0,13.45,286.92724080000005
18/04/2017,3.0,9.95,286.5719101
19/04/2017,1.4,4.75,286.3109447
20/04/2017,0.0,4.55,286.20385489999995
21/04/2017,0.0,5.1,286.45629489999993
22/04/2017,0.0,7.55,286.5600502
23/04/2017,0.0,10.7,284.8843918
24/04/2017,0.0,11.1,285.1916656
25/04/2017,0.0,12.1,285.1545672
26/04/2017,0.0,12.55,285.7000854
27/04/2017,10.4,12.75,285.1102184
28/04/2017,33.4,9.45,284.6511823
29/04/2017,2.4,11.6,284.4912565
30/04/2017,0.0,11.7,284.5599713
01/05/2017,0.0,11.95,284.69091069999996
02/05/2017,0.0,13.6,284.47002319999996
03/05/2017,3.4,13.25,284.48013660000004
04/05/2017,0.0,13.75,284.84361889999997
05/05/2017,0.4,15.4,284.7121872
06/05/2017,0.8,14.55,283.6812059
07/05/2017,1.6,12.6,284.93659260000004
08/05/2017,33.5,11.85,284.83568460000004
09/05/2017,25.7,11.55,284.74059730000005
10/05/2017,0.0,13.65,284.16673910000003
11/05/2017,0.2,16.85,282.0025983
12/05/2017,0.2,19.05,282.00043839999995
13/05/2017,0.0,17.35,282.2620847
14/05/2017,0.0,16.7,283.2068881
15/05/2017,16.4,17.1,283.1913106
16/05/2017,0.0,16.3,281.3795277
17/05/2017,0.0,17.6,284.61365789999996
18/05/2017,0.0,17.95,286.807341
19/05/2017,0.0,18.15,282.6753369
20/05/2017,15.3,14.15,283.58759680000003
21/05/2017,0.2,12.25,285.533332
22/05/2017,0.0,16.4,286.385509
23/05/2017,32.4,17.4,286.6528776
24/05/2017,0.2,17.5,286.42375830000003
25/05/2017,4.0,16.2,286.626628
26/05/2017,0.0,15.2,285.6512042
27/05/2017,0.0,16.35,286.6524543
28/05/2017,0.0,18.35,287.02885089999995
29/05/2017,0.0,18.15,286.0659397
30/05/2017,0.0,19.1,286.8284478
31/05/2017,0.0,19.75,286.90170839999996
01/06/2017,0.0,19.95,286.8994982
02/06/2017,0.0,19.05,286.82793010000006
03/06/2017,0.0,19.6,286.90734080000004
04/06/2017,0.0,20.35,286.87921789999996
05/06/2017,0.0,20.95,286.28123189999997
06/06/2017,2.0,18.3,285.5820478
07/06/2017,0.0,18.45,286.3643435
08/06/2017,0.0,19.65,286.8675473
09/06/2017,0.0,20.15,286.37510039999995
10/06/2017,0.4,21.2,286.3869403
11/06/2017,0.0,21.2,286.29273900000004
12/06/2017,0.0,20.85,285.3902438
13/06/2017,0.0,22.8,285.60131060000003
14/06/2017,0.0,23.05,287.17239889999996
15/06/2017,0.0,23.45,287.77708010000003
16/06/2017,0.0,23.4,288.38205539999996
17/06/2017,19.6,22.05,289.0467915
18/06/2017,0.0,18.95,286.2061508
19/06/2017,0.0,19.6,289.3061664
20/06/2017,0.0,21.9,289.9236996
21/06/2017,0.0,22.4,290.5236353
22/06/2017,15.2,23.3,290.9879992
23/06/2017,0.0,23.1,291.287717
24/06/2017,0.0,23.2,291.6549225
25/06/2017,0.0,23.85,292.2848459
26/06/2017,1.6,23.6,292.9121432
27/06/2017,0.0,24.4,293.55749460000004
28/06/2017,0.6,23.1,292.9867285
29/06/2017,0.4,22.2,294.439253
30/06/2017,0.0,22.1,293.4865359
01/07/2017,0.4,19.6,295.22875580000004
02/07/2017,11.0,19.1,294.3056068
03/07/2017,0.0,19.1,294.4049237
04/07/2017,0.0,21.85,295.6234193
05/07/2017,0.0,24.3,295.7802416
06/07/2017,0.0,25.2,295.71181989999997
07/07/2017,0.0,25.9,295.81987480000004
08/07/2017,0.0,25.85,294.5402742
09/07/2017,0.0,26.2,294.61208839999995
10/07/2017,0.0,26.05,295.4342903
11/07/2017,0.0,25.55,293.061802
12/07/2017,0.0,26.0,295.5889382
13/07/2017,0.0,26.0,295.67146319999995
14/07/2017,31.0,23.85,295.5815736
15/07/2017,24.4,21.65,295.654385
16/07/2017,0.2,19.35,294.8660635
17/07/2017,0.0,20.2,295.35091719999997
18/07/2017,0.0,21.55,295.50219169999997
19/07/2017,0.0,23.05,295.5510162
20/07/2017,0.0,23.4,295.4842514
21/07/2017,0.0,25.3,294.60255750000005
22/07/2017,0.0,24.9,282.3087938
23/07/2017,0.0,24.8,295.507095
24/07/2017,0.0,23.95,295.5224008
25/07/2017,6.6,20.25,295.4739713
26/07/2017,1.2,19.15,295.4049869
27/07/2017,0.0,19.95,295.4620642
28/07/2017,0.0,21.65,295.69434110000003
29/07/2017,0.0,23.0,295.20426610000004
30/07/2017,0.0,25.2,295.23179439999996
31/07/2017,0.2,27.65,295.2068845
01/08/2017,0.0,29.0,295.1331078
02/08/2017,0.0,30.4,293.93027939999996
03/08/2017,0.0,31.1,290.91548339999997
04/08/2017,0.0,30.9,283.0075508
05/08/2017,0.0,30.2,279.5458599
06/08/2017,0.0,28.05,279.89574510000006
07/08/2017,0.0,29.0,279.75957719999997
08/08/2017,0.0,28.45,277.8994841
09/08/2017,0.0,28.95,277.0360834
10/08/2017,0.0,29.15,274.34621269999997
11/08/2017,0.0,21.55,267.73778369999997
12/08/2017,13.8,18.3,264.2501785
13/08/2017,0.0,20.5,262.9659385
14/08/2017,0.0,22.3,258.2781131
15/08/2017,0.0,24.45,253.51633560000002
16/08/2017,0.0,25.5,250.2996651
17/08/2017,0.0,26.45,243.9294081
18/08/2017,0.0,26.1,238.4788856
19/08/2017,0.0,26.2,236.29466000000002
20/08/2017,0.0,24.05,235.6796515
21/08/2017,0.0,22.1,232.925275
22/08/2017,0.0,20.5,229.52371290000002
23/08/2017,0.0,21.85,226.59637310000002
24/08/2017,0.0,24.05,224.71650130000003
25/08/2017,0.0,25.6,221.4396477
26/08/2017,0.0,26.15,218.55055159999998
27/08/2017,0.0,27.75,216.0797671
28/08/2017,0.0,26.85,214.73097819999995
29/08/2017,0.0,25.55,214.78846869999998
30/08/2017,0.0,23.6,215.1568446
31/08/2017,0.0,24.95,215.0094137
01/09/2017,14.3,22.4,213.88913349999999
02/09/2017,1.6,17.4,213.1538985
03/09/2017,4.4,14.75,212.3904338
04/09/2017,0.0,17.05,211.44479390000004
05/09/2017,0.0,18.9,210.17977799999997
06/09/2017,0.0,19.7,208.0344701
07/09/2017,0.0,19.05,205.6504871
08/09/2017,0.0,18.9,204.5712843
09/09/2017,0.0,18.9,203.0262324
10/09/2017,140.8,18.4,201.074759
11/09/2017,59.0,15.1,201.2940017
12/09/2017,0.4,17.4,226.28798769999997
13/09/2017,0.0,16.7,226.63331349999999
14/09/2017,0.0,16.3,277.0259161
15/09/2017,0.0,18.85,295.1912375
16/09/2017,18.5,18.6,295.3685273
17/09/2017,6.1,16.15,295.42541989999995
18/09/2017,0.0,14.7,295.31219139999996
19/09/2017,6.8,15.1,295.2307668
20/09/2017,0.0,12.3,294.7356512
21/09/2017,0.0,13.3,295.43627480000004
22/09/2017,0.0,14.75,295.4287785
23/09/2017,0.0,15.55,295.4936659
24/09/2017,0.0,15.1,295.6846599
25/09/2017,10.9,15.55,297.4706399
26/09/2017,0.2,14.7,300.1609827
27/09/2017,0.0,16.1,293.180223
28/09/2017,0.0,16.25,283.4949026
29/09/2017,0.0,15.75,276.621375
30/09/2017,0.0,14.7,272.0087977
01/10/2017,0.4,15.3,268.876855
02/10/2017,3.8,16.4,267.9028469
03/10/2017,0.0,15.75,260.1447579
04/10/2017,0.0,17.65,253.2624411
05/10/2017,0.0,17.5,247.05257269999998
06/10/2017,1.6,15.05,241.56582110000002
07/10/2017,0.2,10.25,238.45945099999997
08/10/2017,0.0,10.8,238.1181244
09/10/2017,0.0,13.15,236.13079069999998
10/10/2017,8.6,15.45,233.2128962
11/10/2017,0.0,14.8,230.6181642
12/10/2017,0.0,15.45,222.63856030000002
13/10/2017,0.0,15.5,221.109459
14/10/2017,0.0,16.9,217.321754
15/10/2017,0.0,18.6,214.98615
16/10/2017,0.0,18.55,214.1284568
17/10/2017,0.0,17.95,210.6439685
18/10/2017,0.0,16.55,207.37300290000002
19/10/2017,0.0,15.25,206.952423
20/10/2017,0.0,15.6,206.6616075
21/10/2017,0.0,15.0,206.0835421
22/10/2017,8.6,13.05,205.046426
23/10/2017,0.0,9.5,203.7935019
24/10/2017,0.4,10.5,205.4080954
25/10/2017,0.0,12.95,204.3229594
26/10/2017,0.0,13.85,202.3476804
27/10/2017,0.0,13.15,205.2315404
